"ID","easting","northing"
"DO01",538241.501836265,4313928.39981509
"DO02",538918.344184597,4312979.68652137
"DO03",539749.702043846,4312334.88433067
"DO04",540040.216405587,4312118.8798923
"DO05",540499.050208386,4311954.66357436
"DO06",541898.185317672,4311682.08572706
"DO07",542372.681825829,4310661.98319186
"DO09",542281.961725538,4309891.41738078
"DO10",542113.745100247,4309577.83885433
"DO11",542367.198764459,4308873.70453042
"DO12",542699.45919756,4308116.57903943
"DO13",543365.209931725,4307363.75104205
"DO15",544489.863182979,4306441.33767608
"DO16",544890.900352175,4306146.65648846
"DO17",544661.221903251,4305702.71004963
"DO14",544135.123727093,4306436.2733033
"DO00",537581.122288158,4315291.46854887
